pair_hxy_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.35,4,0.07,-0.09069561028579035,1.3233544083043445,1.015449,-1.088,-1.4178,71.26,-0.3114,0.7275,252.34662650632188,346.8514524241155,22
0.35,4,0.08,-0.09957112760587378,1.3930699923706187,1.141863,-1.1346,-1.3843,74.68,-0.3233,0.6887,229.49774149645341,333.2508564617738,23
0.35,4,0.09,-0.07410626392538762,1.3274599144450494,1.075767,-0.8862,-1.0935,66.48,-0.2846,0.7285,207.24745319702453,284.4661802072784,24
0.35,4,0.1,-0.08617333087291944,1.442604544961274,1.170152,-0.9483,-1.169,69.97,-0.3099,0.6802,190.972202445335,280.764813214917,25
0.35,4,0.11,-0.07620644240701638,1.4058543796504852,1.137076,-0.8605,-1.0639,66.71,-0.2935,0.6879,175.03462496244518,254.44173795055622,26
0.35,4,0.12,-0.06476870383488148,1.3546742241710084,1.095403,-0.759,-0.9386,62.32,-0.2741,0.6915,151.25892611824483,218.74791551419133,27
0.35,4,0.13,-0.0656954675258945,1.3230611532830634,1.080487,-0.7882,-0.9652,62.4,-0.2754,0.6528,128.70102127119858,197.15569843318065,28
0.35,4,0.14,-0.05386889066683657,1.2985393965067291,1.053054,-0.6585,-0.8121,57.25,-0.2551,0.69,124.96562422423536,181.09700829907908,29
0.35,4,0.15,-0.04809708764314971,1.2627208595777533,1.032086,-0.6047,-0.7398,54.45,-0.2435,0.6832,108.07084556071267,158.18801088487467,30
0.35,5,0.01,-0.09542826936541113,1.3336946339940159,0.885072,-1.1358,-1.7116,66.84,-0.3452,0.7416,285.4395366717428,384.8757933505012,31
0.35,5,0.02,-0.09425162684213173,1.324483866288681,0.893701,-1.1296,-1.6742,66.49,-0.3433,0.7442,285.75676660583434,383.9669617753357,32
0.35,5,0.03,-0.08836803196317919,1.336044502374347,0.92149,-1.05,-1.5223,64.38,-0.3372,0.7601,291.7433549501434,383.8228442557761,33
0.35,5,0.04,-0.09354900232603562,1.2387615575496467,1.006855,-1.1988,-1.4749,66.28,-0.3402,0.7326,267.12906009329254,364.6071205170217,34
0.35,5,0.05,-0.10963234256878447,1.2256165222312119,1.020543,-1.42,-1.7053,71.78,-0.3567,0.6877,251.52229051881824,365.7591914754916,35
0.35,5,0.06,-0.09014872468892467,1.2099944490911985,0.980924,-1.1827,-1.4589,64.85,-0.3363,0.7314,255.8486523521784,349.78362347803795,36
0.35,5,0.07,-0.09601272019385652,1.2746026234711192,1.051706,-1.1958,-1.4492,67.86,-0.3408,0.7122,247.62583741041243,347.6710918524109,37
0.35,5,0.08,-0.07361717605756107,1.217329163027931,0.975419,-0.96,-1.1981,60.16,-0.3075,0.758,240.3361212756073,317.0452187275859,38
0.35,5,0.09,-0.0703472940271077,1.249934380380722,0.986025,-0.8934,-1.1326,62.04,-0.2886,0.76,232.07232839971854,305.37420877596475,39
