"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2024","9.2300","9.1670","9.3350","8.7230","2.89M","0.57%"
"01/22/2024","9.1780","9.6560","9.6740","9.0750","2.89M","-4.90%"
"01/21/2024","9.6510","9.8460","9.9420","9.6250","1.28M","-1.97%"
"01/20/2024","9.8450","9.7090","9.8520","9.6020","1.10M","1.39%"
"01/19/2024","9.7100","9.6950","9.8910","9.2830","2.99M","0.17%"
"01/18/2024","9.6940","10.1590","10.2620","9.5720","2.64M","-4.54%"
"01/17/2024","10.1550","10.2920","10.3480","10.0530","2.16M","-1.29%"
"01/16/2024","10.2880","10.1900","10.5820","10.0650","2.90M","1.03%"
"01/15/2024","10.1830","9.9920","10.3210","9.9750","3.12M","1.91%"
"01/14/2024","9.9920","10.2000","10.5670","9.9630","3.00M","-2.10%"
"01/13/2024","10.2060","9.9680","10.3390","9.6700","2.31M","2.40%"
"01/12/2024","9.9670","10.6550","10.9440","9.7010","5.15M","-6.46%"
"01/11/2024","10.6550","10.4180","10.8820","10.2470","4.56M","2.62%"
"01/10/2024","10.3830","9.6670","10.6210","9.3850","4.03M","7.42%"
"01/09/2024","9.6660","9.9390","10.0540","9.3910","4.76M","-2.88%"
"01/08/2024","9.9530","9.4050","9.9840","8.8930","4.02M","5.80%"
"01/07/2024","9.4070","9.8230","9.9090","9.3170","3.09M","-4.24%"
"01/06/2024","9.8240","10.3270","10.4070","9.5200","4.30M","-4.87%"
"01/05/2024","10.3270","10.2770","10.7430","9.7750","6.71M","0.54%"
"01/04/2024","10.2720","9.9190","10.3520","9.7690","4.86M","3.50%"
"01/03/2024","9.9250","10.9580","11.3750","9.1670","7.01M","-9.44%"
"01/02/2024","10.9600","11.2000","11.4210","10.9320","3.09M","-2.12%"
"01/01/2024","11.1970","10.5930","11.2000","10.4610","2.23M","5.64%"
"12/31/2023","10.5990","10.7400","10.9780","10.3930","2.68M","-1.30%"
"12/30/2023","10.7390","10.9810","11.0280","10.5820","2.75M","-2.25%"
"12/29/2023","10.9860","11.3950","11.5370","10.7310","4.12M","-3.65%"
"12/28/2023","11.4020","11.9600","12.2180","11.3100","4.41M","-4.58%"
"12/27/2023","11.9490","11.6460","12.0930","11.1620","3.90M","2.68%"
