pval_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.01,8,0.06,-0.07122647112380094,1.6420027388878569,1.204667,-0.6886,-0.9386,70.58,-0.2725,0.8539,433.81386029401784,508.0318432050185,81
0.01,8,0.07,-0.07143814661550903,1.6684808169899517,1.237703,-0.6797,-0.9163,69.72,-0.2778,0.8549,438.40684547732076,512.8453942506811,82
0.01,8,0.08,-0.056373061051849215,1.6688600213206783,1.221002,-0.5362,-0.7329,64.86,-0.2505,0.8798,430.06123554317634,488.8019651592032,83
0.01,8,0.09,-0.058848540479843885,1.5429401315832494,1.141583,-0.6055,-0.8183,56.96,-0.2868,0.8666,398.1866281796959,459.50680735969325,84
0.01,8,0.1,-0.06234180324929144,1.5749683816384241,1.176245,-0.6284,-0.8414,58.46,-0.2938,0.8598,398.4180135791723,463.37817256493406,85
0.01,8,0.11,-0.06251442220057013,1.601327727795065,1.216757,-0.6197,-0.8156,59.36,-0.2916,0.8552,384.5687542372093,449.7087821702034,86
0.01,8,0.12,-0.07319122415742581,1.6101902993711816,1.255005,-0.7216,-0.9258,63.79,-0.3065,0.8245,358.2920454330728,434.5573010051105,87
0.01,8,0.13,-0.06482887092633607,1.542980522444198,1.187226,-0.667,-0.8668,60.0,-0.2935,0.8284,326.1668111569175,393.7184946621597,88
0.01,8,0.14,-0.053451486653964035,1.4925515917145842,1.124763,-0.5685,-0.7544,60.02,-0.2505,0.8504,316.65855185183227,372.35500094526276,89
0.01,8,0.15,-0.05689049391682402,1.5660738857833452,1.219092,-0.5767,-0.7408,63.5,-0.2525,0.8387,308.183374617962,367.4632692792926,90
0.01,9,0.01,-0.09542786310472726,1.3086389162038312,0.930164,-1.1576,-1.6286,76.0,-0.3033,0.7795,351.42557287789094,450.86140623301674,91
0.01,9,0.02,-0.07461697171071471,1.4347495143014466,0.988399,-0.8256,-1.1984,68.74,-0.28,0.8344,391.8639108147927,469.61479533735735,92
0.01,9,0.03,-0.07743932190784907,1.4966515415813821,1.030875,-0.8214,-1.1925,71.36,-0.2803,0.8363,412.2221065163394,492.9138799443181,93
0.01,9,0.04,-0.08205015345869061,1.5290193656835465,1.062685,-0.8519,-1.2257,70.97,-0.2963,0.8308,419.87912402600784,505.3753839299634,94
0.01,9,0.05,-0.06450851207443306,1.5580793818108962,1.077498,-0.6572,-0.9504,67.31,-0.2607,0.8671,438.42585913844215,505.6437287200014,95
0.01,9,0.06,-0.07781842669490055,1.5506259100126547,1.121811,-0.7967,-1.1012,71.71,-0.2825,0.837,416.25911123944786,497.34591185553415,96
0.01,9,0.07,-0.08696757248770401,1.559540924502439,1.15709,-0.8852,-1.1931,73.33,-0.3015,0.8186,408.855313587424,499.4755241196115,97
