rho_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.45,3,0.13,-9.544949921051655,29.650716422858007,21.897039,-0.3219,-0.4359,62.94,-0.2072,0.9202,455.0239523181114,494.491562705952,133
0.45,3,0.14,-14.259285521792329,28.48534139549467,21.75104,-0.5006,-0.6556,67.78,-0.2477,0.8751,413.2761897082165,472.2372036515007,134
0.45,3,0.15,-11.293498144647742,27.55904634029268,20.571707,-0.4098,-0.549,62.41,-0.2249,0.8945,395.90955809037524,442.6072766091172,135
0.45,4,0.01,-27.712074954601963,11.663873023715151,9.146607,-2.3759,-3.0298,71.02,-0.3482,0.6375,201.52028805743356,316.10751862368454,136
0.45,4,0.02,-30.227610175891684,13.786961086973617,11.006459,-2.1925,-2.7464,74.33,-0.3606,0.6552,237.5280226774998,362.5167917381313,137
0.45,4,0.03,-34.36710240737374,16.015181562063166,12.874718,-2.1459,-2.6693,78.92,-0.3803,0.6554,270.2996282703994,412.4048691770797,138
0.45,4,0.04,-33.19534264310578,18.63077490148655,14.908609,-1.7817,-2.2266,80.48,-0.3668,0.703,324.92108702366977,462.1811943019087,139
0.45,4,0.05,-34.45582686029584,20.768985892763865,16.736468,-1.659,-2.0587,82.75,-0.3711,0.7165,359.9953134616372,502.4674229395272,140
0.45,4,0.06,-33.86808034267221,23.113598346729887,18.483358,-1.4653,-1.8324,84.08,-0.3647,0.7426,404.0549727817516,544.0967970558169,141
0.45,4,0.07,-35.66311399213071,25.123483914350427,20.209829,-1.4195,-1.7646,86.1,-0.3744,0.7475,436.6518899935408,584.1160359451288,142
0.45,4,0.08,-37.54441698385751,27.337477105163426,22.281286,-1.3734,-1.685,86.22,-0.3933,0.7511,468.5893586464677,623.8325431590848,143
0.45,4,0.09,-34.92754872559829,28.498362212725425,23.129507,-1.2256,-1.5101,83.87,-0.3861,0.7717,488.21022984175676,632.632871794429,144
0.45,4,0.1,-42.143674580798205,29.464409151022824,23.711505,-1.4303,-1.7774,90.35,-0.4123,0.732,476.06842868018254,650.3291783357053,145
0.45,4,0.11,-41.46820523611165,31.070390495038076,25.44439,-1.3347,-1.6298,90.93,-0.4091,0.7323,469.08021179088416,640.547949314806,146
0.45,4,0.12,-36.96604042371037,32.42646728582193,26.531321,-1.14,-1.3933,89.42,-0.3869,0.7574,477.31442064038293,630.1660639796933,147
0.45,4,0.13,-23.949729200203944,31.264848506787875,24.227724,-0.766,-0.9885,79.84,-0.3153,0.8289,479.7712348865524,578.801464357237,148
0.45,4,0.14,-19.359128483837164,31.21469450621563,23.931774,-0.6202,-0.8089,78.81,-0.2745,0.8531,464.7475624515694,544.7960222934676,149
0.45,4,0.15,-12.539398229632127,30.222173518713003,23.221999,-0.4149,-0.54,72.6,-0.2183,0.8934,434.47576980833185,486.32518629752514,150
0.45,5,0.01,-22.797652490904873,10.932616670368676,8.558582,-2.0853,-2.6637,65.5,-0.3186,0.6752,195.9260103063622,290.1924940187546,151
0.45,5,0.02,-21.740806307342037,11.773909856277728,9.167752,-1.8465,-2.3714,64.18,-0.3132,0.7088,218.86557452668956,308.76208314673084,152
